Provenance,Uniformity,Dataset Charaterstics,Metadata coupling,% of non duplicated rows,% of non missing cells,Unskewness,Number of Categorical Columns wrt all cols,Uncoorelation,DataQuality,MetricDataQuality,CalculatedDataQuality,ErrorPercentage,ComparisionFactor Threshold=5,ComparisionFactor Threshold=4,ComparisionFactor Threshold=3
100,100,100,100,100,100,100,1,100,100,99.505,99.069,0.436,#N/A,#N/A,#N/A
99,95,94,85.08,94.5,100,10.59,0,99.7,94.82126254,86.938,96.80338,9.86538,9.86538,9.86538,9.86538
96,98,96,100,85.23,100,100,0.87,100,99.88209088,95.79666,98.57901,2.78235,#N/A,#N/A,#N/A
95,90,97,95.1,100,100,33.33,0,100,97.26280972,91.073,97.63858,6.56558,6.56558,6.56558,6.56558
98,100,99,87.47,95.09,100,70,0,100,99.45698827,93.26423,97.90855,4.64432,#N/A,4.64432,4.64432
97,99,98,82.26,62.48,100,83.33,0.8,100,99.05070954,87.19356,96.99414,9.80058,9.80058,9.80058,9.80058
94,100,99,94.3,81.45,100,100,0.5,100,99.80312367,93.83615,98.2281,4.39195,#N/A,4.39195,4.39195
100,100,100,82.74028341,100,100,100,1,20,95.81136142,82.91604251,96.32683219,13.41078968,13.41078968,13.41078968,13.41078968
100,99,95,99.63729238,100,100,100,5,100,99.97642829,99.44059386,98.90740357,0.533190285,#N/A,#N/A,#N/A
100,96,98,99.94636282,100,84.69358772,77.27272727,32,88.88888889,98.95138943,92.78738621,96.66495885,3.87757264,#N/A,#N/A,3.87757264
100,95,90,88.37282393,99.99973666,100,50,5,100,98.47412424,92.70587171,97.58002458,4.874152871,#N/A,4.874152871,4.874152871
100,98,100,99.01832783,100,100,50,5,100,98.47968048,94.36774917,98.0887881,3.721038922,#N/A,#N/A,3.721038922
100,97,99,0,100,59.02098509,81.48148148,5,59.3220339,91.61666118,68.52709253,91.25880381,22.73171127,22.73171127,22.73171127,22.73171127
100,94,100,65.96048954,99.98983051,66.95496368,100,12,100,98.70733536,88.77136883,95.56978483,6.798415997,6.798415997,6.798415997,6.798415997
100,99,99,10.91378457,100,98.59821429,100,6,100,94.90673441,85.91736233,95.00320345,9.085841122,9.085841122,9.085841122,9.085841122
0,100,92,99.62728292,100,100,100,2,100,93.50379755,80.21409244,96.89797317,16.68388073,16.68388073,16.68388073,16.68388073
100,98,98,82.64196059,100,36.82961557,100,28,100,96.91524832,86.21415835,94.30708508,8.092926733,8.092926733,8.092926733,8.092926733
100,97,95,82.64196059,99.98072475,29.30913916,100,28,100,96.25720533,84.90435966,93.91456011,9.010200446,9.010200446,9.010200446,9.010200446
100,99,90,82.64196059,100,25.31151306,100,28,100,95.84025971,84.20956282,93.71417996,9.504617137,9.504617137,9.504617137,9.504617137
100,100,89,82.64196059,0.10757457,0.03811152,90.90909091,21,100,86.07753496,59.26491244,89.92885227,30.66393984,30.66393984,30.66393984,30.66393984
71.82807583,96.73590373,98.53600101,71.84930828,63.08812322,28.14682592,99.37143188,19.79470638,67.10766076,95.39668843,64.56617118,91.27230021,26.70612902,26.70612902,26.70612902,26.70612902
93.550912,95.60978353,97.69793624,88.5282867,65.84871328,67.59777608,72.17667753,14.64028658,99.09099065,98.65977821,81.37076548,95.00385585,13.63309036,13.63309036,13.63309036,13.63309036
80.91429739,97.5754902,99.88609693,97.69525623,96.60783762,71.15425926,65.5066823,28.06799639,64.47506519,97.93400186,80.35040843,94.74217538,14.39176695,14.39176695,14.39176695,14.39176695
94.55897022,98.61307317,99.41767154,52.15994523,52.41525703,75.85187265,85.49805076,12.9757796,52.18738814,96.6063587,68.01342055,92.64295521,24.62953466,24.62953466,24.62953466,24.62953466
99.71828277,99.52624368,93.80530656,90.05626389,93.58566539,70.80538072,99.24639107,4.695332667,99.87526009,99.5088871,91.5913901,96.85736769,5.265977596,5.265977596,5.265977596,5.265977596
64.17326662,94.9193154,92.14674462,95.45037781,73.76818492,35.95362126,86.80415262,5.395893462,99.72097295,96.95817017,74.41312082,93.82315223,19.4100314,19.4100314,19.4100314,19.4100314
79.62630883,97.4233469,89.66821657,85.25339423,99.12630897,60.27244001,76.83472417,9.879292188,99.86575308,98.85687428,84.05556402,95.2996639,11.24409988,11.24409988,11.24409988,11.24409988
99.27052325,96.66469539,99.09576937,96.49985968,99.802341,25.35271555,82.28431313,24.26122667,70.03002334,95.64638266,79.11508881,93.38581334,14.27072453,14.27072453,14.27072453,14.27072453
93.83396156,97.72097269,85.89957843,69.31956489,72.59598387,99.12383382,71.17985196,40.54551495,98.366479,97.73608744,85.11858911,95.07781594,9.959226832,9.959226832,9.959226832,9.959226832
91.55423129,97.30878732,85.7281611,85.92564233,70.18683442,99.48437716,99.25701951,10.31396091,96.49266233,99.40950098,89.08456604,97.03556011,7.950994069,7.950994069,7.950994069,7.950994069
69.89826856,99.95138678,96.87812912,38.88208564,86.69369272,70.55214056,72.26918799,12.90310604,63.14407436,96.92643717,67.72164883,92.24664304,24.5249942,24.5249942,24.5249942,24.5249942
97.92555004,95.9451309,95.97348146,59.91380295,83.36515896,40.42020192,99.62596842,2.21341877,99.90973165,97.07943729,79.54102693,93.80391347,14.26288654,14.26288654,14.26288654,14.26288654
99.26269407,98.25358347,93.37988095,87.36687009,60.31146804,99.34232918,99.34190955,3.783389342,99.08850864,99.06492567,89.2841295,97.29381954,8.009690039,8.009690039,8.009690039,8.009690039
94.46302694,97.70655044,94.51030345,34.55460369,99.60575792,99.51762272,99.05358538,27.2339425,99.69407208,96.88527162,88.40901466,95.23563608,6.826621425,6.826621425,6.826621425,6.826621425
80.97667323,94.85640914,96.37482727,35.64294829,79.82095445,72.88429071,75.5050267,25.9129892,98.87737388,96.68979934,75.02166947,92.78254772,17.76087825,17.76087825,17.76087825,17.76087825
86.25407563,99.0691125,90.91222598,96.32699442,57.08618839,75.91564757,72.32818036,22.62386003,99.2169891,98.25059353,80.89620365,95.13597604,14.23977239,14.23977239,14.23977239,14.23977239
93.20687566,97.70004013,92.90810747,94.9632616,87.85015683,54.72539569,99.17798699,0.495437112,99.76911443,98.83985198,87.13764457,96.08948021,8.951835632,8.951835632,8.951835632,8.951835632
65.03343333,99.71999997,98.47620568,79.47704488,99.00352037,64.64874121,94.40561869,10.46716308,99.14350378,98.58673292,82.80059607,95.24780767,12.44721161,12.44721161,12.44721161,12.44721161
78.47903575,97.52934472,89.86570638,56.15187417,99.93655141,99.6641479,87.68564075,0.927670532,99.65833504,98.74235027,87.37121222,96.46212145,9.090909222,9.090909222,9.090909222,9.090909222
77.95184535,95.34142504,99.67903195,2.329549892,75.42063071,51.96187916,99.31503549,30.76073487,99.77547776,91.38281215,67.58065049,90.39246156,22.81181106,22.81181106,22.81181106,22.81181106
89.17002506,99.24024099,93.81824644,99.30079845,64.60911561,41.15891272,99.1450635,0.048994069,99.21528727,97.35297907,80.02465346,94.92160831,14.89695485,14.89695485,14.89695485,14.89695485
77.57709487,98.20070946,96.23274083,81.53709781,76.92937223,15.34423307,66.70312716,0.124102014,95.93426283,94.90744434,69.33591354,92.34045216,23.00453862,23.00453862,23.00453862,23.00453862
89.14184497,97.28909903,95.466546,91.76775713,95.24130034,16.07693327,91.1460835,4.6980457,44.85486802,93.95057126,70.34356827,92.49960572,22.15603746,22.15603746,22.15603746,22.15603746
59.76491881,97.24299806,91.75905577,63.74020508,99.93241265,22.37489054,47.56785762,5.622857073,99.73034639,93.71430888,67.73140768,91.74889334,24.01748565,24.01748565,24.01748565,24.01748565
58.01323804,98.23563529,98.78182387,52.51892215,99.33748527,99.00403774,99.30771068,16.79132077,71.91309534,97.33780369,79.10016173,94.85978288,15.75962115,15.75962115,15.75962115,15.75962115
99.95896476,98.34773253,93.69727366,45.29805361,81.25881597,13.70201803,76.64017876,31.58387409,99.56170899,92.56272265,70.54332246,90.55049612,20.00717366,20.00717366,20.00717366,20.00717366
38.31683528,99.00002093,98.25439407,80.38111656,67.32784212,76.05240873,81.12820301,9.676981442,99.31563951,97.13714296,72.21026085,94.28290502,22.07264418,22.07264418,22.07264418,22.07264418
73.15661644,99.44621333,93.88821359,68.3275372,56.03977114,91.74594285,75.70662595,40.42712604,99.72278837,97.00207441,77.2145504,93.94762719,16.73307679,16.73307679,16.73307679,16.73307679
79.30101167,99.30846644,68.70689727,6.685451072,99.05088099,97.03955769,99.69919442,9.182233733,98.88675998,93.68289173,80.49649025,94.06408325,13.56759301,13.56759301,13.56759301,13.56759301
91.38231678,98.51689181,99.28027879,87.05037131,99.13833586,99.06332725,72.75222074,23.23960202,99.40022592,99.199286,92.84848712,97.10903031,4.260543194,#N/A,4.260543194,4.260543194
