Provenance,Uniformity,Dataset Charaterstics,Metadata coupling,% of non duplicated rows,% of non missing cells,Unskewness,Number of Categorical Columns wrt all cols,Uncoorelation,DataQuality
100,100,100,100,100,100,100,1,100,100
0,0,0,0,0,0,0,0,0,
100,100,100,85.08,94.5,100,10.59,0,99.7,
100,100,100,100,85.23,100,100,0.87,100,
100,100,100,95.1,100,100,33.33,0,100,
100,100,100,87.47,95.09,100,70,0,100,
100,100,100,82.26,62.48,100,83.33,0.8,100,
100,100,100,94.3,81.45,100,100,0.5,100,
100,100,100,82.74,100,100,100,1,20,
100,100,100,99.64,100,100,100,5,100,
100,100,100,99.95,100,84.69,77.27,32,88.89,
100,100,100,88.37,100,100,50,5,100,
100,100,100,99.02,100,100,50,5,100,
100,100,100,0,100,59.02,81.48,5,59.32,
100,100,100,65.96,99.99,66.95,100,12,100,
100,100,100,10.91,100,98.6,100,6,100,
50,100,100,99.63,100,100,100,2,100,
100,100,100,82.64,100,36.83,100,28,100,
100,100,100,82.64,99.98,29.31,100,28,100,
100,100,100,82.64,100,25.31,100,28,100,
100,100,100,82.64,0.11,0.04,90.91,21,100,
100,100,100,84.63,100,89,97.3,0.33,69.7,
100,100,100,85.18,99.51,84.32,92.59,0.83,58.14,
100,100,100,97.66,46.91,51.49,83.33,0.5,88.89,
100,100,100,86.26,69.06,65.43,76.19,0.62,71.43,
100,100,100,84.43,68.56,48.78,87.03,0.98,94.59,
100,100,100,86.17,27.26,15.88,86.9,0.99,97.24,
100,100,100,92.68,99.98,70.23,77.14,0.96,84.76,
100,100,100,91.34,26.37,9.57,83.25,0.97,75.63,
100,100,100,91.78,32.07,49.91,96.3,0.81,62.96,
100,100,100,89.53,4.18,63.02,96.3,1,62.96,
100,100,100,82.34,12.74,11.52,93.75,1,87.5,
100,100,100,80.9,9.65,7.44,94.16,1,97.08,
100,100,100,87.45,17.49,3.41,90.12,0.96,87.65,
100,100,100,89.67,23.02,88.89,100,1,100,
100,100,100,96.56,0.09,1.6,87.1,1,100,
100,100,100,61.27,10.35,7.49,84.21,0.98,89.47,
100,100,17.78,81.62,100,89.53,100,0.37,70.73,
100,100,17.78,81.67,99.5,89.38,98.11,0.74,50.94,
100,100,17.78,94.41,55.78,51.54,83.33,0.5,88.89,
100,100,17.78,86.26,69.58,65.8,85.71,0.62,66.67,
100,100,17.78,83.67,77.33,45.54,89.44,0.93,93.33,
100,100,17.78,86.07,29.62,16.18,87.94,0.67,100,
100,100,17.78,92.48,99.93,65.95,82.35,0.91,89.47,
100,100,17.78,86.14,28.57,10.18,88.78,0.82,74.49,
100,100,17.78,90.87,65.18,63.79,88.89,0.63,55.56,
100,100,17.78,89.53,12.22,62.81,80,0.8,60,
100,100,17.78,81.86,76.28,68.65,73.33,0.97,86.67,
100,100,17.78,80.58,47.16,67.64,76.32,0.86,78.95,
100,100,17.78,86.54,99.6,20.65,92.31,0.35,84.62,
100,100,17.78,83.34,38.01,83.33,100,0.5,100,
100,100,17.78,96.56,0.19,1.57,87.1,0.32,96.77,
100,100,17.78,62.96,29.97,44.61,92,0.95,84,
100,100,12.91,81.62,100,91.65,100,0.31,66.67,
100,100,12.91,81.67,99.88,66.37,88,0.56,76,
100,100,12.91,91.52,74.49,11.5,98.15,0.56,69.75,
100,100,12.91,85.93,89.77,64.56,92.11,0.26,84.21,
100,100,12.91,83.15,76.02,58.73,100,0.82,91.58,
100,100,12.91,85.84,31.83,13.78,90.32,0.45,100,
100,100,12.91,92.48,90.66,57.09,90.91,0.61,87.01,
100,100,12.91,84.95,29.4,11.94,95.71,0.83,85.71,
100,100,12.91,90.03,28.64,45.18,95.45,0.32,72.73,
100,100,12.91,89.53,8.35,59.69,93.94,0.67,69.7,
100,100,12.91,81.25,48.92,53.17,96.15,0.73,84.62,
